"EU MRV & IMO DCS Combined ""Per Voyage Reporting"" Form",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ship Name:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMO No.:,,,,"* in case of ""Other Cargo Ship"" or if you wish to further specify ship type, please do so below:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ship Type:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Departure ,Arr. Anchor,Fuel Quantiry ROB (at departure and at arrival at anchorage) in MT,,,,,,,,,,Initiate shift to Berth,Arrival in Port,Fuel Quantiry ROB (prior shift and at arrival in port) in MT,,,,,,,,,,Dep. for next voyage,Fuel Quantiry ROB (arrival and at departure for next voyage) in MT ,,,,,,,,,,"Total Fuel Consumption during the voyage, in Metric Tonnes (MT)",,,,,,,,,Hours Underway,Distance,Cargo ,Cargo Units,Default Weight (MT),,Guidance on Cargo Units Selection,,,,,,,,,,,,,,,,,Type of Ship,,Cargo Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voyage No.,"Departure Port (Port,Country)","Arrival Port (Port, Country)",Date/Time (GMT), Date/Time (GMT),ROB Qty,HFO,LFO,MGO,LPG (P),LPG (B),LNG,Methanol,Ethanol,Other, Date/Time (GMT), Date/Time (GMT),ROB Qty,HFO,LFO,MGO,LPG (P),LPG (B),LNG,Methanol,Ethanol,Other, Date/Time (GMT),ROB Qty,HFO,LFO,MGO,LPG (P),LPG (B),LNG,Methanol,Ethanol,Other,HFO,LFO,MGO,LPG (P),LPG (B),LNG,Methanol,Ethanol,Other,(hh:mm), Travelled (NM),Carried ,,(in case applicable),,,,,,,,,,,,,,,,,,,Passenger Ship,,Metric Tonnes (MT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,ROB Departure,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,ROB prior shift,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,ROB Dep. Next,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Ship Type:,Cargo Units to be used:,,,,,,,,,,,,,,,,Ro-Ro Ship ,,Cubic Meters (volume of cargo onboard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bunker Supply,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,Bunker Supply,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Bunker Supply,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,Passenger Ship,Passengers,,,,,,,,,,,,,,,,Container Ship,,Cubic Meters (volume of cargo on discharge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ROB Arr. Anchor,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,ROB Arrival,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,Ro-Ro Ship ,Metric Tonnes (MT),OR,Occupied lane meters * default weight,OR,Number of Cargo Units * default weight,,,,,,,,,,,,Oil Tanker,,Passengers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fuel Cons.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,Fuel Cons.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Fuel Cons.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,Container Ship,Metric Tonnes (MT),OR,TEU * default weight,,,,,,,,,,,,,,Chemical Tanker,,Occupied lane meters * default weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,ROB Departure,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,ROB prior shift,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,ROB Dep. Next,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Oil Tanker,Metric Tonnes (MT),,,,,,,,,,,,,,,,LNG Carrier,,Number of Cargo Units * default weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Bunker Supply,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,Bunker Supply,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Bunker Supply,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,Chemical Tanker,Metric Tonnes (MT),,,,,,,,,,,,,,,,Gas Carrier,,TEU * default weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ROB Arr. Anchor,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,ROB Arrival,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,LNG Carrier,Cubic Meters (volume of cargo on discharge),,,,,,,,,,,,,,,,Bulk Carrier,,Metric Tonnes (Deadweight Carried),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fuel Cons.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,Fuel Cons.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Fuel Cons.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,Gas Carrier,Metric Tonnes (MT),,,,,,,,,,,,,,,,General Cargo Ship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,ROB Departure,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,,ROB prior shift,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,ROB Dep. Next,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,Bulk Carrier,Metric Tonnes (MT),,,,,,,,,,,,,,,,Refrigerated Cargo Ship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
